title,url,img_url,discount_rate,author,author_link,duration,price
 دوره آموزش جامع ICDL ,https://toplearn.com/courses/operating-system/%D8%AF%D9%88%D8%B1%D9%87-%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D8%A7%D9%85%D8%B9-ICDL,https://toplearn.com/img/course/400x286/دوره_آموزش_جامع_ICDL.jpg,50% , محقی ,https://toplearn.com/masters/AliMoheghi, 26:31:00 , رایگانـ 
 آموزش جامع لینوکس Essentials ,https://toplearn.com/courses/operating-system/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D8%A7%D9%85%D8%B9-%D9%84%DB%8C%D9%86%D9%88%DA%A9%D8%B3-Essentials-,https://toplearn.com/img/course/400x286/آموزش_جامع_لینوکس_Essentials.jpg,, مصری ,https://toplearn.com/masters/69moslem, 4:44:00 , رایگانـ 
 طراح و تحلیلگر نرم افزار ,https://toplearn.com/courses/windows/%D8%B7%D8%B1%D8%A7%D8%AD-%D9%88-%D8%AA%D8%AD%D9%84%DB%8C%D9%84%DA%AF%D8%B1-%D9%86%D8%B1%D9%85-%D8%A7%D9%81%D8%B2%D8%A7%D8%B1,https://toplearn.com/img/course/400x286/طراح_و_تحلیلگر_نرم_افزار.jpg,60% , خیامدار ,https://toplearn.com/masters/mahdikhayamdar, 27:58:00 , رایگانـ 
 آموزش جامع Agile ,https://toplearn.com/courses/operating-system/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D8%A7%D9%85%D8%B9-agile,https://toplearn.com/img/course/400x286/آموزش_جامع_Agile.jpg,, نبهانی ,https://toplearn.com/masters/mehdipalan, 2:25:00 , رایگانـ 
 آموزش اصولی طراحی لوگو ,https://toplearn.com/courses/graphics/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A7%D8%B5%D9%88%D9%84%DB%8C-%D8%B7%D8%B1%D8%A7%D8%AD%DB%8C-%D9%84%D9%88%DA%AF%D9%88,https://toplearn.com/img/course/400x286/آموزش_اصولی_طراحی_لوگو.jpg,50% , محقی ,https://toplearn.com/masters/AliMoheghi, 6:26:00 ," 75,000 "
 قابلیت های جدید LINQ در دات نت 6 ,https://toplearn.com/courses/windows/%D9%82%D8%A7%D8%A8%D9%84%DB%8C%D8%AA-%D9%87%D8%A7%DB%8C-%D8%AC%D8%AF%DB%8C%D8%AF-LINQ-%D8%AF%D8%B1-%D8%AF%D8%A7%D8%AA-%D9%86%D8%AA-6,https://toplearn.com/img/course/400x286/قابلیت_های_جدید_LINQ_در_دات_نت_6.jpg,, درویش زاده ,https://toplearn.com/masters/rezatoops, 0:38:00 ," 75,000 "
 آموزش HTML وCss مقدماتی همراه با پروژه ,https://toplearn.com/courses/web-design/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-HTML-%D9%88Css-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C-%D9%87%D9%85%D8%B1%D8%A7%D9%87-%D8%A8%D8%A7-%D9%BE%D8%B1%D9%88%DA%98%D9%87,https://toplearn.com/img/course/400x286/آموزش_HTML_وCss_مقدماتی_همراه_با_پروژه.jpg,, شاهقلی گشتی ,https://toplearn.com/masters/yasaminshahgholi, 5:19:00 ," 75,000 "
 آموزش برنامه‌نویسی شی‌ء گرا در سی‌شارپ ,https://toplearn.com/courses/windows/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%B4%DB%8C%E2%80%8C%D8%A1-%DA%AF%D8%B1%D8%A7-%D8%AF%D8%B1-%D8%B3%DB%8C%E2%80%8C%D8%B4%D8%A7%D8%B1%D9%BE,https://toplearn.com/img/course/400x286/آموزش_برنامه‌نویسی_شی‌ء_گرا_در_سی‌شارپ.jpg,50% , زارعی ,https://toplearn.com/masters/hello_, 8:15:00 ," 75,000 "
 نمونه سوالات مصاحبه استخدامی NET Core. و #C ,https://toplearn.com/courses/web/%D9%86%D9%85%D9%88%D9%86%D9%87-%D8%B3%D9%88%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D8%B5%D8%A7%D8%AD%D8%A8%D9%87-%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85%DB%8C-NET-Core-%D9%88-sharpC,https://toplearn.com/img/course/400x286/نمونه_سوالات_مصاحبه_استخدامی_NET_Core._و_sharpC.jpg,, آخوندی ,https://toplearn.com/masters/mhrxad, 1:42:00 ," 75,000 "
 آموزش جامع داکر ,https://toplearn.com/courses/operating-system/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D8%A7%D9%85%D8%B9-%D8%AF%D8%A7%DA%A9%D8%B1,https://toplearn.com/img/course/400x286/آموزش_جامع_داکر.jpg,40% , مومنی ,https://toplearn.com/masters/m.momeni10, 8:26:00 ," 75,000 "
 برنامه نویسی وب اپ با فلاتر ,https://toplearn.com/courses/mobile/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D9%88%D8%A8-%D8%A7%D9%BE-%D8%A8%D8%A7-%D9%81%D9%84%D8%A7%D8%AA%D8%B1,https://toplearn.com/img/course/400x286/برنامه_نویسی_وب_اپ_با_فلاتر.jpg,70% , عباسی ,https://toplearn.com/masters/Hamed_Abbasi, 3:45:00 ," 75,000 "
